Date,Cases,Recovered,Deaths
04/10/20,1,0,0
04/11/20,2,0,0
04/12/20,7,0,0
04/13/20,10,0,0
04/14/20,16,0,0
04/15/20,23,0,0
04/16/20,25,0,0
04/17/20,31,0,0
04/18/20,41,0,0
04/19/20,47,0,0
04/20/20,65,0,0
04/21/20,71,0,0
04/22/20,74,0,0
04/23/20,86,0,0
04/24/20,94,0,0
04/25/20,102,0,0
04/26/20,102,0,0
04/27/20,111,0,2
04/28/20,112,0,4
04/29/20,119,0,6
04/30/20,123,0,8
05/01/20,123,0,10
05/02/20,130,0,12
05/03/20,130,0,14
05/04/20,121,0,16
05/06/20,129,2,16
05/07/20,130,2,16
05/08/20,137,2,16
05/09/20,146,2,16
05/10/20,151,2,16
05/11/20,152,2,16
05/12/20,156,2,16
05/14/20,158,2,16
05/15/20,158,2,16
